||Rating|Spec|Player| 
| 392 | 3328 | rogue/assassination | Jarome |          
| 393 | 3327 | hunter/marksmanship | Aimbotmir |          
| 394 | 3326 | druid/feral | Faramar |          
| 395 | 3326 | monk/windwalker | Yuï |          
| 396 | 3326 | paladin/holy | Lightsbäne |          
| 397 | 3326 | paladin/holy | Shxz |          
| 398 | 3326 | shaman/elemental | Khaztwo |          
| 399 | 3326 | shaman/restoration | Spampurge |          
| 400 | 3325 | hunter/beastmastery | Chickenzzack |          
| 401 | 3325 | hunter/marksmanship | Chickenzzack |          
| 402 | 3324 | druid/balance | Snartx |          
| 403 | 3324 | evoker/preservation | Azrealz |          
| 404 | 3324 | mage/frost | Maxvila |          
| 405 | 3324 | paladin/retribution | Seantate |          
| 406 | 3324 | warlock/demonology | Assaniz |          
| 407 | 3323 | evoker/devastation | Komodolong |          
| 408 | 3323 | hunter/beastmastery | Kokuhaku |          
| 409 | 3323 | warlock/destruction | Mengqil |          
| 410 | 3322 | druid/feral | Glorp |          
| 411 | 3322 | druid/restoration | Toonah |          
| 412 | 3322 | druid/restoration | Alexeyevna |          
| 413 | 3322 | hunter/beastmastery | Szeh |          
| 414 | 3322 | monk/windwalker | Percentx |          
| 415 | 3322 | paladin/retribution | Brutüs |          
| 416 | 3321 | deathknight/frost | Toxicant |          
| 417 | 3321 | mage/fire | Aeghis |          
| 418 | 3321 | mage/fire | Voltonjud |          
| 419 | 3321 | rogue/assassination | Gorediamond |          
| 420 | 3321 | warrior/fury | Momlover |          
| 421 | 3320 | hunter/marksmanship | Simbagrove |          
| 422 | 3320 | monk/windwalker | Innerverse |          
| 423 | 3319 | druid/feral | Snupy |          
| 424 | 3319 | druid/feral | Wodferalz |          
| 425 | 3319 | druid/restoration | Leafynymph |          
| 426 | 3319 | mage/arcane | Cvark |          
| 427 | 3319 | paladin/holy | Bornevil |          
| 428 | 3318 | priest/discipline | Psyches |          
| 429 | 3317 | demonhunter/havoc | Jaybeezy |          
| 430 | 3317 | mage/frost | Hogdog |          
| 431 | 3317 | warlock/demonology | Weishaupt |          
| 432 | 3317 | warlock/destruction | Junglefrog |          
| 433 | 3316 | druid/feral | Rylissara |          
| 434 | 3316 | priest/discipline | Souvlaki |          
| 435 | 3316 | priest/discipline | Jiangfenglol |          
| 436 | 3316 | shaman/restoration | Ittøki |          
| 437 | 3316 | shaman/restoration | Coreygunz |          
| 438 | 3316 | warlock/demonology | Drakatattwo |          
| 439 | 3316 | warrior/arms | Disabled |          
| 440 | 3315 | druid/restoration | Merawr |          
| 441 | 3315 | mage/frost | Venruki |          
| 442 | 3314 | hunter/beastmastery | Pxrÿ |          
| 443 | 3314 | hunter/beastmastery | Cndavyjones |          
| 444 | 3314 | hunter/marksmanship | Rykinia |          
| 445 | 3314 | monk/mistweaver | Yrsksuis |          
| 446 | 3314 | monk/mistweaver | Bonedustproc |          
| 447 | 3313 | druid/restoration | Nikdruidne |          
| 448 | 3313 | hunter/beastmastery | Zujo |          
| 449 | 3313 | rogue/subtlety | Jointers |          
| 450 | 3313 | warlock/destruction | Dipixyz |          
| 451 | 3312 | mage/frost | Fromcanadaqc |          
| 452 | 3312 | paladin/retribution | Chetmorton |          
| 453 | 3311 | deathknight/frost | Toxismall |          
| 454 | 3310 | evoker/preservation | Mikemfdragon |          
| 455 | 3310 | rogue/assassination | Dj |          
| 456 | 3309 | hunter/marksmanship | Robotwo |          
| 457 | 3309 | priest/discipline | Gorecki |          
| 458 | 3309 | rogue/assassination | Filthfuk |          
| 459 | 3308 | monk/mistweaver | Dãnwun |          
| 460 | 3308 | paladin/retribution | Splatxo |          
| 461 | 3308 | priest/discipline | Kebab |          
| 462 | 3308 | shaman/enhancement | Kalvishdam |          
| 463 | 3306 | monk/mistweaver | Vethosis |          
| 464 | 3306 | rogue/assassination | Mirrorx |          
| 465 | 3306 | warlock/destruction | Soulruler |          
| 466 | 3305 | hunter/marksmanship | Rykiniah |          
| 467 | 3305 | paladin/holy | Nevergiveup |          
| 468 | 3305 | priest/discipline | Whammiez |          
| 469 | 3305 | rogue/outlaw | Nahj |          
| 470 | 3304 | paladin/retribution | Bakednub |          
| 471 | 3303 | mage/frost | Fromcanada |          
| 472 | 3303 | paladin/retribution | Watory |          
| 473 | 3303 | priest/discipline | Reedyjrrtv |          
| 474 | 3302 | paladin/holy | Sanctify |          
| 475 | 3302 | paladin/retribution | Calvary |          
| 476 | 3302 | shaman/restoration | Orochishaman |          
| 477 | 3301 | priest/discipline | Veiveilol |          
| 478 | 3301 | priest/shadow | Ilovevivien |          
| 479 | 3301 | warlock/affliction | Weishaupt |          
| 480 | 3301 | warlock/demonology | Swapchan |          
| 481 | 3301 | warlock/demonology | Naiyuan |          
| 482 | 3300 | paladin/holy | Illumination |          
| 483 | 3300 | paladin/holy | Perfect |          
| 484 | 3300 | paladin/retribution | Crnoshock |          
| 485 | 3300 | shaman/restoration | Yooseafood |          
| 486 | 3299 | warlock/demonology | Shinyballz |          
| 487 | 3298 | demonhunter/havoc | Rlycoolclass |          
| 488 | 3298 | druid/balance | Fredagn |          
| 489 | 3298 | monk/windwalker | Doritoww |          
| 490 | 3298 | warlock/demonology | Bahamas |          
| 491 | 3298 | warrior/arms | Palumorw |          
| 492 | 3297 | druid/balance | Iamanobo |          
| 493 | 3297 | hunter/marksmanship | Soloshuffle |          
| 494 | 3297 | priest/discipline | Lèmony |          
| 495 | 3297 | rogue/subtlety | Trillr |          
| 496 | 3297 | shaman/restoration | Juraf |          
| 497 | 3296 | druid/restoration | Restokin |          
| 498 | 3296 | hunter/marksmanship | Rbtz |          
| 499 | 3296 | shaman/elemental | Thunderbud |          
| 500 | 3296 | shaman/restoration | Gullirachad |          
| 501 | 3296 | warlock/destruction | Chanibad |          
| 502 | 3296 | warlock/destruction | Diabolicalz |          
| 503 | 3296 | warrior/arms | Islonely |          
| 504 | 3294 | shaman/restoration | Caprise |          
| 505 | 3293 | deathknight/frost | Toxiz |          
| 506 | 3293 | paladin/retribution | Kumdanya |          
| 507 | 3293 | priest/discipline | Cylizxd |          
| 508 | 3293 | warlock/destruction | Conradlenoir |          
| 509 | 3292 | hunter/beastmastery | Rojpube |          
| 510 | 3292 | paladin/holy | Redemption |          
| 511 | 3290 | paladin/holy | Babe |          
| 512 | 3290 | priest/shadow | Pikaboosp |          
| 513 | 3290 | shaman/restoration | Ggdumpy |          
| 514 | 3289 | shaman/elemental | Brnzr |          
| 515 | 3289 | warlock/affliction | Flòwstate |          
| 516 | 3289 | warlock/affliction | Exgenshinpro |          
| 517 | 3289 | warrior/arms | Bajheera |          
| 518 | 3288 | shaman/elemental | Mazexz |          
| 519 | 3287 | deathknight/frost | Yoinkzz |          
| 520 | 3287 | paladin/holy | Odriew |          
| 521 | 3287 | paladin/holy | Bestpallyus |          
| 522 | 3286 | monk/mistweaver | Yelixing |          
| 523 | 3286 | warlock/affliction | Snutz |          
| 524 | 3286 | warlock/affliction | Goofgg |          
| 525 | 3286 | warlock/demonology | Maldinath |          
| 526 | 3286 | warlock/destruction | Fungiforest |          
| 527 | 3285 | warlock/demonology | Dreadstalker |          
| 528 | 3284 | druid/restoration | Pawpurrazzi |          
